idcvlac,autores,nombre,lugar,verificado,fecha,editorial,isbn,volumen,paginas,palabras,areas,sectores,capitulo,libro
0000000663,CARLOS ALBERTO RINCON LOPEZ,,Colombia,False,2001,Red Cyted Viii7,0,1,17 - 51 1,"Recubrimientosa Duros, Tribologia",Ciencias Naturales -- Ciencias Físicas -- Física de Partículas y Campos,Desarrollo de nuevos materiales,Propiedades Mecánicas y Tribológicas de Recubrimientos Duros.,Produccion Y Caracterización de Recubrimientos Duros
0000000663,"GUSTAVO ADOLFO ZAMBRANO ROMERO, PEDRO ANTONIO PRIETO PULIDO, CARLOS ALBERTO RINCON LOPEZ, JOAN ESTEVE, ELENA MARTINEZ, NELLY CECILIA ALBA DE SANCHEZ",,Colombia,False,2001,Red Cyted Viii7,0,1,68 - 79 1,"Recubrimientos duros, Bicapas, Tribologia",Ciencias Naturales -- Ciencias de la Tierra y Medioambientales -- Geociencias (Multidisciplinario),Desarrollo de nuevos materiales,Propiedades Mecánicas y Tribológicas de Bicapas de W/WC Depositadas sobre Aceros para el Mejoramiento de la Adherencia de Películas de DLC.,Produccion Y Caracterización de Recubrimientos Duros
0000419184,CESAR AUGUSTO QUINAYAS BURGOS,,Colombia,False,2018,UNIMAR,978-958-56599-4-0,,409 - 421,Parto pretermino,,,Análisis de señales Electrohisterográficas (EHG) para detectar cambios bioeléctricos en la actividad muscular uterina,Perspectivas de Investigación e innovación interdisciplinar
0000000319,JHON JAIRO REALPE,,,False,2020,Universidad del Sur Manabi,978-9942-36-415-9,,1 - 5 1,,Ciencias Sociales -- Economía y Negocios -- Economía,,Prueba Libro,Prueba Libro
0000036919,"AXEL HOFFMANN, J H WANG, DORIS GIRATA, WILSON LOPERA MUNOZ, PEDRO ANTONIO PRIETO PULIDO, I K SCHULLER",,Estados Unidos,False,1999,American Chemical Society,0-8412-3609-7,730,216 - 229,"HTc-superconductors, thin films, optical properties",Ciencias Naturales -- Ciencias Físicas -- Física de Partículas y Campos,Desarrollo de nuevos materiales,Persistent Photoconductivity in High-Tc Superconductors,Spectroscopy Of Superconducting Materials
0000036919,WILSON LOPERA MUNOZ,,Suiza,False,2019,"Springer Publishing Company, Inc.",978-981-10-9034-9,,53 - 56 NA,,,,On the CT Dose Index: Are we Meeting the Challenge?,World Congress on Medical Physics and Biomedical Engineering 2018
0001494646,"PABLO HERNANDO RUIZ MELENJE, JULIO ARIEL HURTADO ALEGRIA",,Colombia,False,2012,Eafit,978-1-4673-1474-9,,1 - 6,,,,A software process line based on the Unified Process,Memorias Xxxviii Conferencia Latinoamericana En Informática
0001494646,PABLO HERNANDO RUIZ MELENJE,,Colombia,False,2010,Universidad Tecnologica De Bolivar,978-958-8387-40-6,,20 - 18,,,,Guía de Tailoring del Proceso Unificado a Proyectos Específicos para las Pymes Desarrolladoras de Software,Memorias Del 5o Congreso Colombiano De Computación. Ccc2010
0001494646,PABLO HERNANDO RUIZ MELENJE,,Colombia,False,2013,Universidad Tecnologica De Bolivar,978-958-8387-40-6,,91 - 94,,,,Formalizing the Software Process in Small Companies,Memorias Del 5o Congreso Colombiano De Computación. Ccc2010
0001494646,"PABLO HERNANDO RUIZ MELENJE, JULIO ARIEL HURTADO ALEGRIA",,Colombia,False,2012,IEEE Publications,978-1-4673-1476-3,,1 - 6,"Adaptación del proceso, Mejora de Procesos Software, Proceso Unificado , Procesos Software, Procesos de Desarrollo de Software ",,,A software process line based on the Unified Process ,"Computing Congress (CCC), 2012 7th Colombian"
