idcvlac,autor,nombre,tipo,verificado,nombre_comercial,contrato_registro,lugar,fecha,palabras,areas,sectores
0000773735,"ANDREA JOVANNA ORTEGA RODRIGUEZ, LEIDY PAOLA DORADO MUNOZ, GILBERTO BOLANOS",Sistema de Adquisición y Monitoreo de Señales Eléctricas Generadas en la Actividad Cerebral,Producción técnica - Prototipo - Industrial,False,,,Colombia,2005,"actividad cerebral, procesamiento de señales, señales biomédicas","Ingeniería y Tecnología -- Ingeniería Médica -- Ingeniería Médica, Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería Eléctrica y Electrónica","Fabricación de equipos de instrumentación médico-hospitalarios, instrumentos de precisión y ópticos, equipos para automación industrial, cronómetros y relojes - Fabricación de equipos de instrumentación médico-hospitalar, odontológico y de laboratorios, Neurociencias"
0000773646,RONALD HURTADO VELASCO,Controlador de Temperatura CTC-f1,Producción técnica - Prototipo - Industrial,True,,,Colombia,2006,,,
0000773646,"DAVID MAGIN FLOREZ RUBIO, RONALD HURTADO VELASCO",DINAMÓMETRO EMULADOR DE CONDICIONES DE RODAMIENTO Y MÉTODO DE OBTENCIÓN DE VARIABLES DE DESEMPEÑO,Producción técnica - Prototipo - Industrial,True,,,Colombia,2018,,"Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería Eléctrica y Electrónica",
0000378631,"WILLFRAND PEREZ URBANO, LUIS FELIPE IDROBO",Fotodetectores,Producción técnica - Prototipo - Industrial,False,,,Colombia,2003,"Optica, Semiconductores, Silicio Poroso, Fotodiodos, Fotodetectores, Silicio","Ciencias Naturales -- Ciencias Físicas -- Física atómica, Molecular y Química, Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería Eléctrica y Electrónica",Fabricación de material electrónico y de aparatos y equipos de comunicación - Fabricación de material electrónico básico
0000378631,"WILLFRAND PEREZ URBANO, LUIS FELIPE IDROBO",Fuente de corriente controlada,Producción técnica - Prototipo - Industrial,False,,,Colombia,2003,"Micropocesadores, Fuente de corriente, Proceso Electroquímico, Silicio Poroso, Comunicación serial","Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería Eléctrica y Electrónica, Ingeniería y Tecnología -- Ingeniería de los Materiales -- Compuestos (Laminados, Plásticos Reforzados, Fibra Sintéticas y Naturales)","Fabricación de máquinas, aparatos y materialies eléctricos"
0001462299,"EDGAR MATALLANA SANCHEZ, EVER GREGORIO MARTINEZ ROMERO",Microplanta automatizada para producción de probioticos,Producción técnica - Prototipo - Industrial,False,,,Colombia,2022,"Abono orgánico, Aguas residuales, Impacto ambiental",Ingeniería y Tecnología -- Biotecnología Ambiental -- Biotecnología Ambiental,"Captación, tratamiento y distribución de agua, limpieza urbana, aguas residuales y actividades conexas"
0001353314,GABRIEL ELIAS CHANCHI GOLONDRINO,"Arquitectura para el despliegue de servicios interactivos de TV Móvil, apoyada en sistemas de Recomendaciones y Búsquedas Semántica",Producción técnica - Prototipo - Industrial,True,,,Colombia,2013,,"Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería de Sistemas y Comunicaciones",
0001387326,GINETH MAGALY CERON RIOS,PLATAFORMA OFFLINE PARA LA CREACIO ́N DE FORMULARIOS CON CONTENIDOS MULTIMEDIA PARA PRUEBAS TIPO PRE-SABER (ICFES),Producción técnica - Prototipo - Industrial,False,,,Colombia,2019,,,Desarrollo de programas (software) y prestación de servicios en informática - Desarrollo de programas (software)
0001698898,JULIAN RENE MUNOZ BURBANO,Manual,Producción técnica - Prototipo - Industrial,False,,,Colombia,2023,,,
0001727629,"MICHAEL STIVENS PARDO BURBANO, VICTOR HUGO PINTO RODRIGUEZ, JULIAN FERNANDO MUNOZ ORDONEZ",Punto ecológico inteligente: EcologIA,Producción técnica - Prototipo - Industrial,False,,,Colombia,2021,"Deep Learning, Convolutional Neural Networks, Classification of Solid Waste, Smart Ecological Point ","Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería de Sistemas y Comunicaciones",
0000709786,JULLY ANDREA MORENO MARTINEZ,Implementación de un sistema de mejora continua Kaizen aplicado al área de colisión del Taller SMI Automotriz,Producción técnica - Prototipo - Servicios,True,,,Colombia,2018,,,
0000709786,JULLY ANDREA MORENO MARTINEZ,Banco de Calibración medidores de gas,Producción técnica - Prototipo - Industrial,True,,,Colombia,2017,,,
0000709786,"DANNY LORENA IMBACHI, JULLY ANDREA MORENO MARTINEZ",Máquina Clasificadora de Café por tamaño,Producción técnica - Prototipo - Industrial,True,,,Colombia,2018,"Cafe, Simulación, Productividad",Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Ingeniería Industrial,"Fabricación de máquinas, aparatos y materialies eléctricos"
