idcvlac,autor,nombre,tipo,verificado,nombre_comercial,contrato_registro,lugar,fecha,palabras,areas,sectores
0000975877,"CARLOS AUGUSTO ANDRADE ERASO, ANDRES EDUARDO MANTILLA ZARATE, JORGE ANDRES PRADA MEJIA, GERMAN CASTILLO SALAMANCA, LUZ ADRIANA PLAZAS PEMBERTHY, PEDRO LEON RIVERA WICHES, SISTEMA DE MONITOREO PERMANENTE DE PRESIÓN - TEMPERATURA EN FONDO DE POZO",MULTIPLE O SERIAL EN TIEMPO REAL,Producción técnica - Productos tecnológicos - Otro,False,HERRAMIENTA PT DIRECCCIONAL,,Colombia,2016,,,
0000975877,"CARLOS AUGUSTO ANDRADE ERASO, DAVID ARMANDO REVELO LUNA, ANDRES EDUARDO MANTILLA ZARATE, GERSON SAUL PEREZ MORA, GERMAN CASTILLO SALAMANCA, ALVARO PRADA VELASQUEZ, JORGE ANDRES PRADA MEJIA",SISTEMA Y MÉTODO PARA MEDICIÓN DEL CONTENIDO DE AGUA O CORTE DE AGUA EN MEZCLA DE PETRÓLEO/GAS-AGUA,Producción técnica - Productos tecnológicos - Otro,False,SMART WATER CUT,,Colombia,2015,,,
0000378631,WILLFRAND PEREZ URBANO,Nanotubos de carbono de multicapa,Producción técnica - Productos tecnológicos - Otro,False,,,Colombia,2006,"Nanotecnología, Nanotubos de carbono, PAPVD","Ingeniería y Tecnología -- Ingeniería de los Materiales -- Compuestos (Laminados, Plásticos Reforzados, Fibra Sintéticas y Naturales), Ciencias Naturales -- Ciencias Físicas -- Física de Partículas y Campos",
0000523496,GUSTAVO EDUARDO CONSTAIN MORENO,Simulador de Física General,Producción técnica - Productos tecnológicos - Otro,False,,,Colombia,2005,,,
0000523496,"GUSTAVO EDUARDO CONSTAIN MORENO, MANUEL JOSE SANTIAGO PAJAJOYO, PAULA ANDREA MORA PEDREROS, ANDRES FABIAN ARIAS NORENA",SISTEMA MOOC CATEDRA DE PAZ,Producción técnica - Productos tecnológicos - Otro,False,SISTEMA MOOC CATEDRA DE PAZ,,Colombia,2020,,"Ciencias Sociales -- Ciencias de la Educación -- Educación General (Incluye Capacitación, Pedagogía)","Educación - Educación superior, Educación - Formación permanente y otras actividades de enseñanza, incluso educación a distancia y educación especial, Educación - Educación secundaria de formación técnica, Educación - Educación secundaria de formación general"
0000523496,"GUSTAVO EDUARDO CONSTAIN MORENO, MANUEL JOSE SANTIAGO PAJAJOYO, PAULA ANDREA MORA PEDREROS, ANDRES FABIAN ARIAS NORENA",GAMOTION,Producción técnica - Productos tecnológicos - Otro,False,GAMOTION,,Colombia,2019,,,"Educación - Educación superior, Educación - Formación permanente y otras actividades de enseñanza, incluso educación a distancia y educación especial, Educación - Educación secundaria de formación general, Educación - Educación secundaria de formación técnica, Neurociencias, Otros sectores - Informática, Salud humana - Desarrollo de productos tecnológicos para la salud humana"
0000523496,"GUSTAVO EDUARDO CONSTAIN MORENO, MANUEL JOSE SANTIAGO PAJAJOYO, PAULA ANDREA MORA PEDREROS, ANDRES FABIAN ARIAS NORENA",PLATAFORMA SOFTWARE OBSERVATORIO FILOSÓFICO VIRTUAL,Producción técnica - Productos tecnológicos - Otro,False,PLATAFORMA SOFTWARE OBSERVATORIO FILOSÓFICO VIRTUAL,,Colombia,2020,,"Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería de Sistemas y Comunicaciones, Ciencias Sociales -- Ciencias de la Educación -- Educación General (Incluye Capacitación, Pedagogía)","Desarrollo de programas (software) y prestación de servicios en informática - Otras actividades de prestación de servicios en informática, Educación - Educación secundaria de formación general, Educación - Educación secundaria de formación técnica, Educación - Educación superior, Educación - Formación permanente y otras actividades de enseñanza, incluso educación a distancia y educación especial"
0000212440,JOSE WILDEMAN ORDONEZ VALVERDE,Apicultura de Alto Valor,Producción técnica - Productos tecnológicos - Otro,False,,,Colombia,2007,"Agropecuario, Organización de Información, Sistema de Información, Sistemas Integrales, Apicultura, Sistemas de Información Geográficos","Ciencias Agrícolas -- Agricultura, Silvicultura y Pesca -- Agronomía","Agricultura, pecuaria, silvicultura, explotación forestal, Desarrollo de programas (software) y prestación de servicios en informática, Desarrollo rural"
0000267244,"NELSON VIVAS QUILA, HORACIO RENE BADOS","Evaluación del comportamiento productivo y resistencia a varroa de 3 reinos de abejas Apis mellifera, seleccionadas de los apiarios del Cauca y una introducida",Producción técnica - Productos tecnológicos - Otro,False,,,Colombia,2004,,Ciencias Agrícolas -- Ciencias Veterinarias -- Ciencias Veterinarias,
0000347485,"SANDRA MORALES VELASCO, NELSON VIVAS QUILA","Creacción de un escenario de investigación , con el fin de integrar investigacion, conservación y producción",Producción técnica - Productos tecnológicos - Otro,False,,,Colombia,2004,"Ecologia, Desarrollo sostenible",Ciencias Naturales -- Ciencias Biológicas -- Ecología,"Productos y servicios para la defensa y protección del medio ambiente, incluyendo el desarrollo sostenible."
